Date,Integer
30/11/1992,5
31/12/1992,5
31/01/1993,5
28/02/1993,5
31/03/1993,5
30/04/1993,5
31/05/1993,5
30/06/1993,5
31/07/1993,5
31/08/1993,5
30/09/1993,5
31/10/1993,5
30/11/1993,5
31/12/1993,5
31/01/1994,5
28/02/1994,5
31/03/1994,5
30/04/1994,5
31/05/1994,5
30/06/1994,5
31/07/1994,5
31/08/1994,5
30/09/1994,5
31/10/1994,5
30/11/1994,5
31/12/1994,5
31/01/1995,5
28/02/1995,5
31/03/1995,5
30/04/1995,5
31/05/1995,5
30/06/1995,5
31/07/1995,5
31/08/1995,5
30/09/1995,5
31/10/1995,5
30/11/1995,5
31/12/1995,5
31/01/1996,5
29/02/1996,5
31/03/1996,5
30/04/1996,5
31/05/1996,5
30/06/1996,5
31/07/1996,5
31/08/1996,1
30/09/1996,1
31/10/1996,1
30/11/1996,1
31/12/1996,1
31/01/1997,1
28/02/1997,2
31/03/1997,2
30/04/1997,2
31/05/1997,2
30/06/1997,2
31/07/1997,2
31/08/1997,2
30/09/1997,2
31/10/1997,2
30/11/1997,2
31/12/1997,2
31/01/1998,2
28/02/1998,2
31/03/1998,2
30/04/1998,2
31/05/1998,2
30/06/1998,2
31/07/1998,2
31/08/1998,2
30/09/1998,2
31/10/1998,2
30/11/1998,2
31/12/1998,2
31/01/1999,2
28/02/1999,2
31/03/1999,2
30/04/1999,2
31/05/1999,2
30/06/1999,2
31/07/1999,2
31/08/1999,2
30/09/1999,2
31/10/1999,2
30/11/1999,2
31/12/1999,2
31/01/2000,2
29/02/2000,2
31/03/2000,3
30/04/2000,3
31/05/2000,3
30/06/2000,3
31/07/2000,3
31/08/2000,3
30/09/2000,3
31/10/2000,3
30/11/2000,3
31/12/2000,3
31/01/2001,3
28/02/2001,3
31/03/2001,3
30/04/2001,3
31/05/2001,1
30/06/2001,1
31/07/2001,4
31/08/2001,4
30/09/2001,4
31/10/2001,4
30/11/2001,4
31/12/2001,4
31/01/2002,4
28/02/2002,4
31/03/2002,4
30/04/2002,4
31/05/2002,4
30/06/2002,4
31/07/2002,4
31/08/2002,4
30/09/2002,4
31/10/2002,4
30/11/2002,4
31/12/2002,4
31/01/2003,4
28/02/2003,4
31/03/2003,5
30/04/2003,5
31/05/2003,5
30/06/2003,5
31/07/2003,5
31/08/2003,5
30/09/2003,5
31/10/2003,5
30/11/2003,5
31/12/2003,5
31/01/2004,5
29/02/2004,5
31/03/2004,5
30/04/2004,5
31/05/2004,5
30/06/2004,5
31/07/2004,5
31/08/2004,5
30/09/2004,5
31/10/2004,5
30/11/2004,5
31/12/2004,5
31/01/2005,1
28/02/2005,1
31/03/2005,1
30/04/2005,1
31/05/2005,1
30/06/2005,2
31/07/2005,2
31/08/2005,2
30/09/2005,2
31/10/2005,2
30/11/2005,2
31/12/2005,2
31/01/2006,2
28/02/2006,2
31/03/2006,2
30/04/2006,2
31/05/2006,2
30/06/2006,2
31/07/2006,2
31/08/2006,2
30/09/2006,2
31/10/2006,2
30/11/2006,3
31/12/2006,3
31/01/2007,3
28/02/2007,3
31/03/2007,3
30/04/2007,3
31/05/2007,3
30/06/2007,3
31/07/2007,3
31/08/2007,3
30/09/2007,3
31/10/2007,3
30/11/2007,1
31/12/2007,1
31/01/2008,1
29/02/2008,4
31/03/2008,4
30/04/2008,4
31/05/2008,4
30/06/2008,4
31/07/2008,4
31/08/2008,4
30/09/2008,4
31/10/2008,4
30/11/2008,4
31/12/2008,4
31/01/2009,4
28/02/2009,4
31/03/2009,4
30/04/2009,4
31/05/2009,5
30/06/2009,5
31/07/2009,5
31/08/2009,5
30/09/2009,5
31/10/2009,5
30/11/2009,5
31/12/2009,5
31/01/2010,5
28/02/2010,5
31/03/2010,5
30/04/2010,5
31/05/2010,5
30/06/2010,5
31/07/2010,5
31/08/2010,5
30/09/2010,5
31/10/2010,5
30/11/2010,5
31/12/2010,5
31/01/2011,5
28/02/2011,5
31/03/2011,5
30/04/2011,5
31/05/2011,5
30/06/2011,5
31/07/2011,5
31/08/2011,5
30/09/2011,5
31/10/2011,5
30/11/2011,5
31/12/2011,5
31/01/2012,5
29/02/2012,5
31/03/2012,5
30/04/2012,5
31/05/2012,5
30/06/2012,5
31/07/2012,5
31/08/2012,5
30/09/2012,5
31/10/2012,5
30/11/2012,5
31/12/2012,5
31/01/2013,5
28/02/2013,5
31/03/2013,5
30/04/2013,5
31/05/2013,5
30/06/2013,5
31/07/2013,5
31/08/2013,5
30/09/2013,5
31/10/2013,5
30/11/2013,5
31/12/2013,5
31/01/2014,5
28/02/2014,5
31/03/2014,5
30/04/2014,5
31/05/2014,5
30/06/2014,5
31/07/2014,5
31/08/2014,5
30/09/2014,5
31/10/2014,5
30/11/2014,5
31/12/2014,5
31/01/2015,1
28/02/2015,1
31/03/2015,1
30/04/2015,1
31/05/2015,1
30/06/2015,2
31/07/2015,2
31/08/2015,2
30/09/2015,2
31/10/2015,2
30/11/2015,2
31/12/2015,2
31/01/2016,2
29/02/2016,2
31/03/2016,2
30/04/2016,2
31/05/2016,2
